PRICE,LAND AREA,ROAD ACCESS,FLOOR,BEDROOM,BATHROOM,BUILT YEAR,AMENITY_PARKING,LOCATION_Kathmandu,LOCATION_Lalitpur,AMENITY_MARBEL,AMENITY_PARQUET,AMENITY_DRINKING_WATER,AMENITY_MODULAR_KITCHEN,AMENITY_GARDEN,AMENITY_DRAINAGE,AMENITY_POWER_BACKUP,AMENITY_RESERVE_TANK,AMENITY_WATER_WELL
29000000,4.0,12.0,3.0,5.0,4.0,2076,1,0,1,1,1,1,1,0,0,0,0,0
47500000,3.0,10.0,4.5,5.0,6.0,2076,1,0,1,0,1,1,1,0,0,0,0,0
19900000,2.3,10.0,2.5,4.0,4.0,2060,1,0,1,1,1,1,1,0,0,0,0,0
40000000,7.0,12.0,2.5,4.0,3.0,2059,1,0,1,1,1,1,1,1,0,0,0,0
12000000,6.0,20.0,2.0,4.0,4.0,2071,1,1,0,0,1,1,1,0,0,0,0,0
27000000,6.0,12.0,2.5,6.0,5.0,2076,1,0,1,1,1,1,0,1,1,1,0,0
33000000,3.2,13.0,2.5,4.0,3.0,2074,1,0,1,1,1,1,0,0,0,0,0,0
40000000,4.3,14.0,2.5,5.0,4.0,2065,1,1,0,1,1,1,1,0,0,0,0,0
45000000,2.2,10.0,5.5,13.0,5.0,2066,1,1,0,1,1,1,1,0,0,1,0,0
30000000,5.0,12.0,3.0,5.0,5.0,2075,1,0,1,1,1,1,0,0,1,1,0,0
49900000,5.2,13.0,3.0,6.0,5.0,2079,1,0,1,1,1,1,0,0,0,1,0,0
24500000,3.0,16.0,2.5,4.0,2.0,2070,1,1,0,1,1,1,0,0,1,1,1,0
25000000,4.0,13.0,4.0,4.0,5.0,2078,1,1,0,1,1,1,1,0,0,0,0,0
42500000,4.0,20.0,2.5,4.0,4.0,2078,1,0,1,1,1,1,0,0,0,0,0,0
65000000,6.2,12.0,2.5,4.0,5.0,2077,1,0,1,1,1,1,0,0,0,0,0,0
36000000,4.2,13.0,2.5,4.0,5.0,2077,1,0,1,1,1,1,1,0,0,0,0,0
58000000,5.0,14.0,3.5,6.0,6.0,2078,1,0,1,1,1,1,0,0,0,0,0,0
25000000,3.2,12.0,3.5,5.0,7.0,2078,1,0,1,1,1,1,0,0,1,1,0,0
48000000,5.2,16.0,3.0,4.0,4.0,2077,1,0,1,1,1,1,0,0,0,0,0,0
66500000,4.1,20.0,3.0,4.0,5.0,2077,1,1,0,1,1,1,0,0,0,0,0,0
133000000,9.6,14.0,2.5,5.0,5.0,2077,1,1,0,1,1,1,0,1,1,1,0,0
85000000,7.0,12.0,3.5,5.0,7.0,2078,1,0,1,1,1,1,0,0,0,1,0,0
55000000,5.0,12.0,2.5,4.0,5.0,2078,1,0,1,1,1,1,1,0,0,0,0,0
47500000,3.1,20.0,2.5,4.0,4.0,2075,1,0,1,1,1,1,0,0,1,1,0,0
29500000,3.2,13.0,3.0,5.0,4.0,2075,1,0,1,1,1,1,1,0,0,0,0,0
63500000,5.0,10.0,2.5,5.0,3.0,2078,1,0,1,1,1,1,1,0,0,0,0,0
85000000,7.0,13.0,2.5,5.0,6.0,2075,1,0,1,1,1,1,1,0,0,0,0,0
105000000,11.0,12.0,2.5,4.0,4.0,2078,1,1,0,1,1,1,0,1,1,1,0,0
64000000,7.0,26.0,2.5,4.0,4.0,2075,1,0,1,1,1,1,0,0,1,1,1,0
35000000,4.0,20.0,2.5,3.0,4.0,2080,1,0,1,1,1,1,0,0,0,0,0,0
22000000,3.0,16.0,2.5,6.0,5.0,2078,1,1,0,1,1,1,0,0,1,1,1,0
37500000,3.0,16.0,2.5,4.0,4.0,2078,1,0,1,1,1,1,1,0,0,0,0,0
80000000,6.0,20.0,2.0,5.0,4.0,2078,1,0,1,1,1,1,1,0,0,0,0,0
55000000,4.2,13.0,3.5,6.0,7.0,2077,1,0,1,1,1,1,1,0,0,0,0,0
55000000,3.3,13.0,2.5,4.0,4.0,2075,1,0,1,1,1,1,1,0,0,0,0,0
77500000,9.0,20.0,2.5,5.0,5.0,2078,1,0,1,1,0,1,1,0,0,0,0,0
160000000,12.0,13.0,2.5,7.0,7.0,2074,1,1,0,1,1,0,0,1,1,1,0,0
31900000,4.1,13.0,2.5,5.0,3.0,2078,1,0,1,1,0,1,0,0,1,1,1,0
25000000,3.0,13.0,2.5,4.0,3.0,2074,1,1,0,1,1,1,0,0,1,1,1,0
62500000,6.4,13.0,2.5,5.0,6.0,2078,1,0,1,1,0,1,0,0,1,1,0,0
160000000,12.0,12.0,2.5,7.0,7.0,2078,1,1,0,1,1,1,1,0,0,1,0,0
28000000,2.2,12.0,2.5,4.0,4.0,2078,1,0,1,1,1,1,1,0,0,0,0,0
48000000,5.0,25.0,2.5,6.0,4.0,2078,1,0,1,1,1,1,1,0,0,0,0,0
25000000,3.1,13.0,3.0,5.0,3.0,2076,1,0,1,1,1,1,1,0,0,1,0,0
33500000,5.0,19.0,2.5,4.0,2.0,2076,1,0,1,1,1,1,0,0,0,0,0,0
35000000,5.0,19.0,2.5,4.0,3.0,2075,1,0,1,1,1,1,0,0,0,1,0,0
40000000,4.0,18.0,2.5,4.0,5.0,2076,1,0,1,1,1,1,0,0,1,1,0,0
60000000,7.0,13.0,2.5,5.0,3.0,2076,1,0,1,1,1,1,0,0,0,1,0,0
25000000,3.5,12.0,2.5,4.0,4.0,2071,1,0,1,1,1,1,1,0,0,0,0,0
27000000,3.3,12.0,2.0,5.0,4.0,2078,1,0,1,1,1,1,0,0,1,1,0,0
27500000,3.0,12.0,2.5,5.0,4.0,2074,1,0,1,1,1,1,1,0,0,0,0,0
110000000,11.0,16.0,2.5,5.0,5.0,2077,1,1,0,1,1,1,0,0,1,1,0,0
32500000,3.3,15.0,2.5,6.0,4.0,2077,1,0,1,1,1,1,0,0,1,1,0,0
28000000,3.1,13.0,2.0,5.0,4.0,2078,1,0,1,1,1,1,1,0,1,0,1,0
31000000,3.2,12.0,3.0,6.0,4.0,2078,1,0,1,1,1,1,1,1,1,1,1,0
40000000,5.0,13.0,2.5,4.0,4.0,2077,1,1,0,0,1,1,0,0,1,1,1,0
35000000,6.0,15.0,2.5,3.0,3.0,2075,1,1,0,0,1,1,0,0,1,0,1,0
31500000,5.2,20.0,2.0,6.0,5.0,2078,1,0,1,1,1,1,1,0,0,0,0,0
29000000,3.2,13.0,2.5,6.0,6.0,2077,1,0,1,1,1,1,1,0,1,0,0,0
42500000,4.2,20.0,3.0,5.0,4.0,2078,1,0,1,1,0,1,1,0,0,0,0,0
46500000,4.0,12.0,2.0,4.0,4.0,2074,1,0,1,0,1,1,1,0,1,1,0,0
40000000,4.0,20.0,2.5,5.0,4.0,2080,1,0,1,1,1,1,1,0,0,0,0,0
59500000,5.0,16.0,3.0,6.0,5.0,2078,1,0,1,1,1,1,1,0,0,0,0,0
39000000,5.0,13.0,2.5,4.0,4.0,2078,1,0,1,1,0,1,1,0,0,0,0,0
32000000,4.0,13.0,3.0,8.0,3.0,2078,1,0,1,1,0,0,0,1,0,0,1,1
32500000,4.0,13.0,3.0,8.0,3.0,2077,1,0,1,1,0,1,1,1,0,0,1,1
51500000,7.1,20.0,2.5,4.0,4.0,2074,1,0,1,1,1,1,0,1,1,1,1,0
35000000,4.0,10.0,3.5,8.0,6.0,2075,1,1,0,1,1,1,0,0,0,1,1,0
32500000,4.3,20.0,2.5,4.0,4.0,2078,1,0,1,1,1,1,0,1,1,1,1,1
32000000,3.1,13.0,2.5,5.0,6.0,2074,1,1,0,1,1,1,0,0,1,1,1,0
55000000,5.2,13.0,2.5,5.0,3.0,2075,1,1,0,1,1,1,0,0,0,1,1,0
23000000,2.3,13.0,2.5,5.0,3.0,2074,1,0,1,1,0,1,1,1,0,0,0,1
17000000,3.3,20.0,2.0,3.0,3.0,2078,1,1,0,1,1,1,0,0,1,1,1,0
24000000,2.3,13.0,3.5,5.0,4.0,2077,1,0,1,1,1,1,0,0,1,1,1,0
27500000,4.0,13.0,2.5,4.0,4.0,2074,1,0,1,1,1,1,0,0,1,1,1,0
22500000,3.2,13.0,2.5,4.0,3.0,2074,1,0,1,1,1,1,0,0,1,1,1,0
18000000,4.2,13.0,2.5,4.0,4.0,2078,1,0,1,0,1,1,0,0,1,1,1,0
25000000,3.2,14.0,2.5,3.0,3.0,2077,1,0,1,1,1,1,0,0,1,1,1,0
16500000,3.1,13.0,1.0,1.0,1.0,2074,1,0,1,0,0,1,1,1,0,0,1,1
51000000,6.3,12.0,2.5,5.0,5.0,2078,1,0,1,0,0,1,0,0,1,1,1,0
59900000,7.0,20.0,2.5,5.0,3.0,2077,1,0,1,1,1,1,0,0,1,1,1,0
32500000,4.3,20.0,2.5,4.0,3.0,2074,1,0,1,1,1,1,0,1,1,1,1,0
27500000,3.2,13.0,2.5,5.0,5.0,2077,1,0,1,1,1,1,0,0,1,1,1,0
22500000,4.0,20.0,2.5,4.0,4.0,2068,1,1,0,1,1,1,0,1,1,1,1,0
61000000,6.0,18.0,3.5,6.0,4.0,2070,1,0,1,0,1,1,0,1,1,0,1,0
36900000,4.1,18.0,3.5,5.0,4.0,2079,1,0,1,0,1,1,0,1,1,0,1,0
23000000,2.3,20.0,2.0,3.0,2.0,2070,1,0,1,0,1,1,1,1,1,1,0,0
32000000,4.0,14.0,2.0,5.0,5.0,2079,1,1,0,1,1,1,1,1,1,0,1,0
