Title;Location;Price;Posted On;Pillar Size;Tank Capacity;Road Size;Road Type;Built On;Land Area;House Area;Beds;Living;Kitchen;Bathrooms;Property Face Direction;Parking Space;Amenities
Sitapaila House Is On Sale;location: Kathmandu,Sitapaila;Rs NPR 22000000/-;2 days ago;9*12 inchs;12000 Liters;10 Feets;Concrete;2071 B.S;4 Anna;1910 sq.ft;5;2;2;3;EAST;2 Car & 5 Bikes;['Modular Kitchen', 'Water Well']
Chandragiri,Balambu House Is On Sale;location: Kathmandu, Balambu;Rs NPR 2.25 Crore;2 days ago;12*12 Inchs;12000 liters;13 Feet;Gravel;2079 B.S;4 Anna;2500 Sq ft;4;2;2;3;East;2 Cars & 3 Bikes;['Water Well']
Rai Chowk House on Sale;location: Kathmandu,Rai Chowk;Rs NPR 2,50,00,000/-;3 days ago;9*12 inch;10000 Liters;12 Feets;Concrete;2070 B.S;0-3-3-2 Anna;2150 Sq.Ft;6;1;2;3;EAST;1 Car & 2 Bikes;['Solar', 'Modular Kitchen', 'Water Well']
Lalitpur,Sainbu House Is On Sale;location: Lalitpur,Sainbu;Rs NPR 3.50crore/-;3 days ago;12*12 Inchs;12000 liters;13 Feets;Gravel;2076B.S;0.4.2.5 Anna;7569 Sq ft;4;1;1;2;West-South;2 Cars & 3 Bikes;['Solar', 'Modular Kitchen', 'Water Well']
Bhaisepati Aawas On Sale;location: Lalitpur,Bhaisepati;Rs NPR 16,00,00,000/-;3 days ago;9*9 Inch;12000 liters;18Feets;Black Topped;2058 B.S;12 Anna;4879 Sq ft;11;2;1;9;East;3 Cars & 5 Bikes;['Solar', 'Water Well', 'Servent Quarter']
Aadheshwor House Is On Sale;location: Kathmandu,Sitapaila;Rs NPR 30000000/-;1 week ago;12*12 Inchs;7000 liters;10 Feets;Concrete;2079 B.S;0.3.2.5 ANNA;2550 Sq ft;6;2;2;3;North-East;1 Car & 2 Bikes;['Solar', 'Water Filter', 'Modular Kitchen', 'Water Well']
Ramkot Near Padma Colony House Is On Sale;location: Kathmandu, Ramkot;Rs NPR 2.60 CR/-;1 week ago;12*12 Inchs;12000 Liters;16 feets;Concrete;2075 B.S;3.2 Anna;2500 Sq.ft;6;3;2;3;WEST;1 Car & 2 Bikes;['Solar']
Swoyambhu , Karkhana Chowk House Is On Salw;location: Swoyambhu , Karkhana Chowk;Rs NPR 3.8 Cr/-;3 weeks ago;12*12 Inchs;12000 liters;13 Feet;Concrete;2079 B.S;0.4.2.0 Anna;2900 Sq ft;6;2;2;3;North- East;1 Cars & 4 Bikes;['Solar', 'Modular Kitchen']
Sitapaila, 2 Crore House;location: Kathmandu, Sitapaila, Towkhel;Rs NPR 22,000,000/-;3 weeks ago;12*12 Inchs;12000 Liters;13 Feets;Gravel;2078 B..S;0.2.5.0 Anna;2320 sq.ft.;6;1;1;3;WEST;1 Car & 3 Bikes;['Solar', 'Modular Kitchen']
Towkhel House On Sale;location: Kathmandu, Sitapaila;Rs NPR 20000000/-;3 weeks ago;12*12 Inchs;8000 Liters;10 Feet;Gravel;2074 B.S.;2.5 Anna;1615 Sq ft;4;1;1;3;West;1 Car & 3 Bikes;['Modular Kitchen', 'Water Well']
Sitapaila Near Civil Home House Is On Sale;location: Sitapaila,Civil Home;Rs Npr 27,500,000/-;2 weeks ago;12*12 Inchs;12000 liters;12 Feet;Concrete;2077 B.S;4.5 Anna;2825 Sq.ft;6;2;2;5;South;2 Cars & 3 Bikes;['Solar', 'Modular Kitchen', 'Water Well']
Sitapaila , Banglamukhi House Is On Sale;location: Sitapaila , Banglamukhi Mandir;Rs NPR 3.50crore/-;3 weeks ago;12*12 Inchs;12000 liters;14 Feet;Concrete;2078 B.S.;0.3.3.3;2500 Sq ft;4;1;1;3;West;2 Cars & 5 Bikes;['Solar', 'Modular Kitchen', 'Water Well']
Thankot House;location: Kathmandu, Thankot;Rs NPR 2.2 CR/-;1 month ago;12*9 Inchs;5000 Liters;13 Feets;Concrete;2072 B..S;3 Anna;2600 Sq.ft;8;2;2;3;EAST;1 Car & 2 Bikes;['Solar', 'Modular Kitchen']
Grand Bungalow on sale at Manamaiju;location: loktantrik chowk,Manamaiju,Kathmandu;Rs 7,35,00,000;1 month ago;2;4;13 feet;Ptiched;2015;9.25;5;4;2;1;4;south west;2;['Solar', 'Water Filter', 'Modular Kitchen', 'Water Well', 'Servent Quarter']
Thankot New Resident;location: Kathmandu, Thankot;Rs Rs 1,65,00,000;1 month ago;12*12 Inchs;12000 Liters;12 Feets;Gravel;2077 B.S;3 Anna;1910 sq.ft;4;2;1;3;WEST;1 Car & 4 Bikes;['Solar', 'Water Filter', 'Modular Kitchen', 'Water Well']
Thankot Near To High Vision Colony House On Sale;location: Kathmandu, Thankot;Rs NPR 18500000/-;1 month ago;12*12 Inchs;12000 Liters;13 Feets;Concrete;2079 B.S.;4.5 Anna;2700 sq.ft;8;2;2;3;EAST;1 Car & 1 Bikes;['No Amenities Available']
Thankot Near To High Vision Colony House On Sale;location: Kathmandu, Thankot;Rs NPR 11500000;1 month ago;12*12 Inchs;12000 Liters;13 Feets;Concrete;2079 B.S.;3.1 Anna;800 sq.ft.;3;1;1;1;EAST;1 Car & 3 Bikes;['No Amenities Available']
Thankot Near To High Vision Colony House On Sale;location: Kathmandu, Thankot;Rs NPR 17000000;1 month ago;12*12 Inchs;12000 Liters;13 Feets;Concrete;2079 B.S.;3.5 Anna;2500 Sq.ft;7;1;2;4;EAST;2 Car & 5 Bikes;['No Amenities Available']
Dhungedhara, Arahiti;location: Kathmandu, Dhungedhara;Rs 33,000,000/-;1 month ago;12*12 Inches;12000 Liters;13 Feets;Concrete;2079 B.S.;3 Anna;2867 Sq.ft;5;2;2;3;NORTH;1 Car & 3 Bikes;['Water Filter', 'Modular Kitchen', 'Water Well']
Kathmandu,Sanobharyang Bungalow On Sale;location: Kathmandu ,Sanobharyang;Rs NPR 31000000/-;1 month ago;12*12 Inchs;12000 Liters;12 Feet;Block paved;2072 B.S.;3.5 Aana;2300 sq.ft.;6;1;1;3;East;1 Car & 2 Bikes;['Solar', 'Water Well']
House sale in Dharan-4, Bhedetar, Tourist village.;location: Purwanchal Campus Football Ground, Panmara Road, LANGHALI CHOK, Dharan, Dharan Sub-Metropolitan, Dharan, Sunsari, Koshi Province, 56100, Nepal;Rs 21500000;1 month ago;12;10000;20 ft;Pitched;2079;10-12 dhur;10-12 dhur;16;4;2;16;East, West, North, South;10;['No Amenities Available']
Sitapaila,Syuchatar House On Sale;location: Kathmandu, Sitapaila,Syuchatar;Rs NPR 23500000;1 month ago;12*12 Inchs;12000 Liters;14 Feet;Gravel;2079 B.S.;3.1 Aana;2400 sq.ft.;5;2;2;3;South-EAST;1 Car & 3 Bikes;['Solar', 'Modular Kitchen']
Kathmandu,Budhanilkanta,Italitar House On Sale;location: Kathmandu,Budhanilkanta,Italitar;Rs Npr12,00,00,000/-;1 month ago;9*9 Inch;12000 Liters;13 Feets;Pitched;2059 B..S;14.5 Aana;3528 sq.ft.;5;2;1;5;SOUTH;3 Cars and 10 bikes;['Solar', 'Water Filter', 'Modular Kitchen', 'Water Well', 'Servent Quarter']
Bafal House On Sale;location: Kathmandu,Bafal;Rs Npr4.50CRORE;1 month ago;12*12 Inchs;12000 Liters;13 Feets;Gravel;2078 B..S;3.2 Anna;2800 Sq.ft;6;2;2;4;SOUTH;1 Car & 3 Bikes;['Solar', 'Modular Kitchen', 'Water Well']
Imadol,Gwarkhu House On Sale;location: LALITPUR, IMADOL,TEMPO PARK;Rs 31500000;1 month ago;12*12 Inchs;12000 Liters;13 Feets;Concrete;2078 B..S;0.3.5.0;2320 sq.ft.;5;2;2;3;WEST;1 Car & 2 Bikes;['Solar', 'Modular Kitchen', 'Water Well']
Sitapaila,Sita Homes House On Sale;location: Kathmandu,Sitapaila;Rs NPR 30000000/-;2 months ago;18*18 Inchs;10000litres;16 Feets;Black Topped;2078 B.S.;3 ANNA;2240 sq.ft;4;1;1;4;West;1 Car & 2 Bikes;['Solar', 'Water Filter', 'Modular Kitchen', 'Water Well']
Baniyatar House On Sale;location: Kathmandu, Baniyatar;Rs Npr 60000000/-;2 months ago;12*12 Inchs;12000 liters;12 Feet;Black Topped;2073 B.S;6 Anna;3210;6;3;1;3;South-East;2 Cars & 2 Bikes;['Solar', 'Water Filter', 'Water Well']
Towkhel House On Sale;location: Kathmandu,Towkhel;Rs NPR25500000 /-;2 months ago;12*12 Inchs;12000 liters;13 Feet;Concrete;2079 B.S;4.1 Aana;2900 Sq ft;6;1;2;4;East/South;1 Car & 2 Bikes;['Solar', 'Modular Kitchen']
