iter	RMSE
0	25210618.86
1	24647681.46
2	24186416.38
3	23694890.12
4	23277958.6
5	22818677.25
6	22412378.04
7	22016623.89
8	21647234.93
9	21320366.11
10	20993883.34
11	20680525.41
12	20362046.59
13	20087449.13
14	19839994.95
15	19595325.48
16	19340622.64
17	19120477.43
18	18905530.65
19	18708602.85
20	18530574.39
21	18351811.2
22	18168453.08
23	18007417.86
24	17838382.12
25	17676649.65
26	17532200.45
27	17404057.4
28	17276861.72
29	17167678.16
30	17038920.23
31	16933317.21
32	16825684.98
33	16739032.13
34	16641463.22
35	16543785.52
36	16450591.82
37	16369028.28
38	16281226.21
39	16199400.78
40	16133123.15
41	16055327.23
42	15992913.08
43	15911746.64
44	15857122.86
45	15786441.57
46	15736696.76
47	15670405.78
48	15596765.17
49	15543406.15
50	15481021.98
51	15428094.9
52	15365807.04
53	15319987.71
54	15281118.53
55	15240003.84
56	15197980.75
57	15152959.98
58	15118035.21
59	15083455.26
60	15035832.7
61	14996059.87
62	14965866.34
63	14924968.85
64	14890897.24
65	14863705.19
66	14830261.57
67	14794457.15
68	14740338.55
69	14685579.13
70	14660507.14
71	14617490.04
72	14586655.13
73	14537570.13
74	14505542.34
75	14465568.31
76	14431681.13
77	14415971.38
78	14402101.78
79	14374587.92
80	14318314.55
81	14303928.75
82	14264171.88
83	14240968.89
84	14223364.4
85	14180483.28
86	14151592.48
87	14136037.33
88	14115208.49
89	14099606.72
90	14060821.43
91	14031402.07
92	14004627.25
93	13960057.93
94	13941290.75
95	13922048.47
96	13902028.3
97	13877726.13
98	13861182.33
99	13841834.37
100	13825963.37
101	13812696.55
102	13796372.61
103	13753741.97
104	13747850.04
105	13704681.39
106	13688257.15
107	13652758.27
108	13643001.17
109	13601260.62
110	13598896.98
111	13579519.87
112	13572965.36
113	13562629.3
114	13553930.23
115	13538340.82
116	13516601.45
117	13505841.12
118	13493904.68
119	13452466.16
120	13433126.54
121	13400575.42
122	13394683.36
123	13387084.58
124	13374354.15
125	13363987
126	13334637.83
127	13329173.23
128	13321796.18
129	13292514.79
130	13285007.62
131	13254576.22
132	13246573.8
133	13211855.63
134	13191669.15
135	13178697.2
136	13147747.52
137	13129077.64
138	13115544.03
139	13096450.17
140	13059213.66
141	13047072.6
142	13023756.8
143	13014716.51
144	12980058.13
145	12950280.19
146	12934816.75
147	12920847.39
148	12917420.48
149	12914951.8
150	12906115.77
151	12897337.41
152	12874430.45
153	12859434.57
154	12851598.88
155	12824671.4
156	12810939.11
157	12804286.67
158	12783180.94
159	12780282.7
160	12773878.66
161	12764359.98
162	12747542.25
163	12736194.41
164	12723591.76
165	12719878.47
166	12712410.21
167	12702138.02
168	12695796.24
169	12678069.46
170	12665804.41
171	12653712.13
172	12639753.54
173	12623165.36
174	12615589.57
175	12606313.02
176	12602800.54
177	12589728.22
178	12585704.06
179	12557619.8
180	12550874.78
181	12547907.12
182	12545609.24
183	12542645.26
184	12539147.59
185	12522194.8
186	12508429.44
187	12505286.23
188	12494623.05
189	12492505.22
190	12488885.28
191	12485058.07
192	12476482.57
193	12468443.85
194	12441052.22
195	12429370.59
196	12419441.15
197	12405340
198	12399466.96
199	12373350.58
200	12369230.63
201	12363712.1
202	12360732.52
203	12351403.96
204	12324471.1
205	12297449.62
206	12287850.52
207	12282330.58
208	12279278.69
209	12274580.56
210	12265277.58
211	12262657.9
212	12235911.46
213	12230222.34
214	12216201.83
215	12206230.42
216	12181112.14
217	12171276.01
218	12146655.86
219	12137350.05
220	12122503.18
221	12106707.93
222	12104372.69
223	12096126.13
224	12083109.85
225	12069834.14
226	12055655.39
227	12047935.02
228	12039240.9
229	12027102.61
230	12024486.28
231	12018392.57
232	12014890.49
233	11990032.75
234	11972055.32
235	11969275.84
236	11961749.48
237	11953556.94
238	11935910.06
239	11923189.65
240	11900837.28
241	11895876.82
242	11884161.67
243	11876461.82
244	11869077.78
245	11866871.56
246	11864903.99
247	11859244.49
248	11850660.34
249	11827507.83
250	11822058.37
251	11816774.25
252	11805833.69
253	11783166.61
254	11776734.61
255	11754096.72
256	11744721.47
257	11742655.89
258	11736585.28
