iter	Passed	Remaining
0	2	2656
1	5	2687
2	8	2707
3	10	2655
4	13	2722
5	16	2694
6	18	2683
7	21	2708
8	24	2664
9	26	2655
10	33	2970
11	37	3048
12	39	3018
13	43	3047
14	46	3020
15	49	3030
16	51	2999
17	54	2986
18	57	2987
19	60	2975
20	62	2928
21	66	2942
22	69	2934
23	71	2920
24	74	2907
25	83	3126
26	86	3101
27	88	3072
28	90	3045
29	93	3035
30	96	3018
31	99	3017
32	102	3002
33	105	2996
34	108	2983
35	111	2975
36	114	2981
37	117	2972
38	120	2964
39	123	2958
40	126	2949
41	129	2943
42	131	2935
43	134	2926
44	137	2921
45	140	2910
46	143	2906
47	146	2904
48	149	2895
49	152	2888
50	154	2878
51	157	2868
52	160	2864
53	163	2859
54	166	2852
55	169	2850
56	172	2846
57	175	2846
58	178	2840
59	181	2838
60	184	2833
61	187	2832
62	189	2825
63	192	2819
64	195	2815
65	198	2809
66	201	2804
67	204	2805
68	208	2809
69	211	2813
70	215	2814
71	218	2818
72	222	2820
73	225	2820
74	228	2822
75	232	2823
76	239	2871
77	242	2870
78	246	2869
79	249	2870
80	252	2870
81	256	2869
82	259	2869
83	263	2868
84	266	2864
85	269	2863
86	272	2862
87	276	2861
88	279	2859
89	283	2864
90	286	2865
91	289	2861
92	292	2855
93	295	2850
94	298	2846
95	301	2841
96	304	2839
97	307	2830
98	310	2823
99	312	2814
100	315	2807
101	317	2797
102	320	2789
103	323	2782
104	325	2776
105	328	2768
106	331	2763
107	333	2756
108	336	2751
109	339	2750
110	340	2729
111	344	2728
112	347	2726
113	350	2725
114	353	2723
115	357	2723
116	360	2722
117	364	2721
118	367	2719
119	371	2722
120	374	2720
121	377	2719
122	381	2718
123	384	2716
124	387	2715
125	391	2713
126	394	2712
127	396	2698
128	399	2696
129	403	2697
130	406	2696
131	409	2694
132	413	2692
133	416	2691
134	419	2691
135	423	2689
136	426	2684
137	428	2678
138	432	2676
139	435	2675
140	438	2670
141	440	2662
142	442	2654
143	446	2655
144	450	2654
145	451	2643
146	454	2635
147	456	2628
148	458	2618
149	459	2603
150	461	2593
151	463	2585
152	465	2577
153	468	2573
154	470	2562
155	472	2557
156	475	2553
157	476	2541
158	479	2533
159	481	2527
160	484	2525
161	487	2522
162	490	2520
